file_path,emotion
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,happiness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,sadness
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,anger
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,fear
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,disgust
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,surprise
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,neutral
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,calm
C:/Users/THARUN KURAVADI/Downloads/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,calm
